pathway	thr	estimate_trade_off	lower_trade_off	upper_trade_off	x
Overall	0.03	5.45710123365367	3.1909137217953405	19.900781395974402	3%
Overall	0.04	2.6890006953769023	2.153056781977489	3.742700181917622	4%
Overall	0.05	2.059743422859243	1.7846512580263736	2.4877965622371137	5%
Gynaecology	0.03	2.9504086354972996	1.8761992709114832	10.751911785336475	3%
Gynaecology	0.04	2.5144735330030827	1.8509352139051527	3.8415440472378592	4%
Gynaecology	0.05	3.0605311968361155	2.1213429402418096	4.722200263892524	5%
Upper GI	0.02	2.0676643951135634	1.3779077299161127	6.794626192998635	2%
Upper GI	0.03	1.572338614186572	1.2662702347397505	2.505869658621354	3%
Upper GI	0.04	1.4346944887270574	1.2276986659242535	1.9006062157614838	4%
Upper GI	0.05	1.526480009352772	1.2547698773619493	2.126202924697442	5%
Lower GI	0.03	3.8069544958784176	2.186655276887152	16.80071986209114	3%
Lower GI	0.04	2.317248028921535	1.7678452221690422	3.7125270446048146	4%
Lower GI	0.05	1.869357486501246	1.5578815470577183	2.4665998904021698	5%
RDC	0.05	3.270806188368739	-18.2990983153237	25.23003769910737	5%
